,sales_rate_comparison,avg_rate_compt,weekday_sazonality_guh,occup_competitors,imat_sp,event_sazonality_guh
2023-03-20,-86.16%,390.03,2,0.7719,1.0959999999999999,0
2023-03-21,-74.83%,390.75,3,0.7719,1.0959999999999999,0
2023-03-22,-86.55%,368.11,3,0.7719,1.0959999999999999,0
2023-03-23,-88.65%,354.58,4,0.7719,1.0959999999999999,4
2023-03-24,-100.00%,355.29,5,0.7719,1.0959999999999999,4
2023-03-25,-91.49%,358.05,5,0.7719,1.0959999999999999,4
2023-03-26,-100.00%,363.83,1,0.7719,1.0959999999999999,4
2023-03-27,-91.06%,362.32,2,0.7719,1.0959999999999999,0
2023-03-28,-68.42%,355.51,3,0.7719,1.0959999999999999,0
2023-03-29,-64.29%,428.72,3,0.7719,1.0959999999999999,0
2023-03-30,-58.97%,559.01,4,0.7719,1.0959999999999999,0
2023-03-31,-48.80%,566.10,5,0.7719,1.0959999999999999,0
2023-04-01,-63.91%,676.28,5,0.6468,1.02,0
2023-04-02,-80.06%,673.79,1,0.6468,1.02,0
2023-04-03,-43.59%,584.99,2,0.6468,1.02,0
2023-04-04,-43.53%,656.81,3,0.6468,1.02,0
2023-04-05,-39.31%,705.50,3,0.6468,1.02,0
2023-04-06,-18.52%,734.14,4,0.6468,1.02,0
2023-04-07,-23.48%,736.70,5,0.6468,1.02,0
2023-04-08,-58.80%,691.85,5,0.6468,1.02,0
2023-04-09,-64.63%,626.50,1,0.6468,1.02,0
2023-04-10,-72.88%,470.37,2,0.6468,1.02,0
2023-04-11,-62.91%,515.43,3,0.6468,1.02,0
2023-04-12,-62.62%,526.54,3,0.6468,1.02,0
2023-04-13,-63.96%,514.01,4,0.6468,1.02,0
2023-04-14,-51.52%,503.48,5,0.6468,1.02,0
2023-04-15,-53.25%,558.61,5,0.6468,1.02,0
2023-04-16,-71.65%,594.52,1,0.6468,1.02,0
2023-04-17,-65.52%,590.56,2,0.6468,1.02,0
2023-04-18,-54.61%,550.96,3,0.6468,1.02,0
2023-04-19,-53.85%,480.52,3,0.6468,1.02,0
2023-04-20,-30.77%,556.14,4,0.6468,1.02,0
2023-04-21,-40.00%,522.57,5,0.6468,1.02,1
2023-04-22,-55.00%,477.44,5,0.6468,1.02,1
2023-04-23,-53.85%,488.41,1,0.6468,1.02,0
2023-04-24,-70.21%,454.60,2,0.6468,1.02,2
2023-04-25,-83.16%,446.93,3,0.6468,1.02,0
2023-04-26,-41.46%,423.17,3,0.6468,1.02,0
2023-04-27,-68.00%,460.30,4,0.6468,1.02,0
2023-04-28,-38.98%,546.51,5,0.6468,1.02,0
2023-04-29,-47.97%,548.16,5,0.6468,1.02,0
2023-04-30,-55.28%,586.48,1,0.6468,1.02,0
2023-05-01,-81.58%,400.54,2,0.6731999999999999,1.004,0
2023-05-02,-35.71%,556.69,3,0.6731999999999999,1.004,0
2023-05-03,-59.12%,508.29,3,0.6731999999999999,1.004,0
2023-05-04,-68.00%,452.46,4,0.6731999999999999,1.004,0
2023-05-05,-77.14%,434.48,5,0.6731999999999999,1.004,0
2023-05-06,-76.12%,429.52,5,0.6731999999999999,1.004,0
2023-05-07,-54.02%,555.43,1,0.6731999999999999,1.004,0
2023-05-08,-48.39%,571.27,2,0.6731999999999999,1.004,0
2023-05-09,-74.19%,563.88,3,0.6731999999999999,1.004,0
2023-05-10,-79.06%,553.54,3,0.6731999999999999,1.004,0
2023-05-11,-83.54%,468.74,4,0.6731999999999999,1.004,0
2023-05-12,-70.00%,395.75,5,0.6731999999999999,1.004,0
2023-05-13,-79.75%,448.43,5,0.6731999999999999,1.004,0
2023-05-14,-100.00%,378.06,1,0.6731999999999999,1.004,0
2023-05-15,-75.51%,520.44,2,0.6731999999999999,1.004,0
2023-05-16,-64.29%,655.81,3,0.6731999999999999,1.004,0
2023-05-17,-61.90%,646.73,3,0.6731999999999999,1.004,0
